cell,leiden_final
1231,Macrophage + DC
1232,Smooth Muscle
1233,Enterocyte (Bottom Villus)
1234,Enterocyte (Mid Villus)
1235,Smooth Muscle
1236,Smooth Muscle
1237,Enterocyte (Mid Villus)
1238,Endothelial
1239,B (Plasma)
1240,B (Plasma)
1241,Removed
1242,B (Plasma)
1243,Stem + TA
1244,Enterocyte (Mid Villus)
1245,B (Plasma)
1246,Endothelial
1247,Enterocyte (Mid Villus)
1248,B (Plasma)
1249,Stem + TA
1250,B (Plasma)
1251,Smooth Muscle
1252,Stromal
1253,B (Plasma)
1254,Smooth Muscle
1255,Stromal
1256,T (CD4+)
1257,T (CD4+)
1258,Stromal
1259,Smooth Muscle
1260,Endothelial
1261,Endothelial
1262,Enterocyte (Mid Villus)
1263,Stem + TA
1264,Enterocyte (Mid Villus)
1265,Enterocyte (Mid Villus)
1266,Goblet
1267,Stem + TA
1268,Stem + TA
1269,Macrophage + DC
1270,Smooth Muscle
1271,Enterocyte (Mid Villus)
1272,Telocyte
1273,Smooth Muscle
1274,T (CD4+)
1275,Smooth Muscle
1276,Stromal
1277,Stromal
1278,T (CD8+)
1279,B (Plasma)
1280,Telocyte
1281,Enterocyte (Mid Villus)
1282,Macrophage + DC
1283,Enterocyte (Mid Villus)
1284,Enterocyte (Mid Villus)
1285,Endothelial
1286,Goblet
1287,Enterocyte (Mid Villus)
1288,Smooth Muscle
1289,Enterocyte (Mid Villus)
1290,Smooth Muscle
1291,Telocyte
1292,Enterocyte (Bottom Villus)
1293,Enterocyte (Mid Villus)
1294,Enterocyte (Mid Villus)
1295,Enterocyte (Mid Villus)
1296,Goblet
1297,Stem + TA
1298,Stem + TA
1299,Stem + TA
1300,Stem + TA
1301,Enterocyte (Bottom Villus)
1302,Enterocyte (Mid Villus)
