gene_i,gene_j,P_i,P_j,P_ij,P_i_given_j,P_j_given_i,PMI,NPMI
ACTA2,CALB2,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,CAV1,0.01954928990589951,0.0007639154137296434,6.944685579360395e-05,0.09090909090909091,0.0035523978685612794,1.5369210423609239,0.16051480592166298
ACTA2,CCL13,0.01954928990589951,0.00010417028369040591,0.0,0.0,0.0,,
ACTA2,CCL21,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,CCL22,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,CCL23,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
ACTA2,CCND1,0.01954928990589951,0.00010417028369040591,0.0,0.0,0.0,,
ACTA2,CCR7,0.01954928990589951,6.944685579360395e-05,0.0,0.0,0.0,,
ACTA2,CD163,0.01954928990589951,0.0014583839716656828,0.0,0.0,0.0,,
ACTA2,CD19,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
ACTA2,CD3E,0.01954928990589951,0.0006944685579360394,3.4723427896801975e-05,0.05,0.0017761989342806397,0.9390840416053036,0.09145649269260626
ACTA2,CD4,0.01954928990589951,0.0006250217021424355,3.4723427896801975e-05,0.05555555555555556,0.0017761989342806397,1.04444455726313,0.10171745209926093
ACTA2,CD40LG,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
ACTA2,CD44,0.01954928990589951,0.0176395013715754,3.4723427896801975e-05,0.0019685039370078744,0.0017761989342806397,-2.2956651324191872,-0.22357262194431976
ACTA2,CD48,0.01954928990589951,0.00045140456265842563,3.4723427896801975e-05,0.07692307692307693,0.0017761989342806397,1.3698669576977578,0.13341002706463223
ACTA2,CD68,0.01954928990589951,0.001180596548491267,0.0,0.0,0.0,,
ACTA2,CD74,0.01954928990589951,0.016701968818361747,0.00010417028369040591,0.006237006237006237,0.0053285968028419185,-1.142438666278357,-0.12459138478330672
ACTA2,CD80,0.01954928990589951,0.0001388937115872079,0.0,0.0,0.0,,
ACTA2,CD86,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
ACTA2,CD8A,0.01954928990589951,0.0006944685579360394,0.0,0.0,0.0,,
ACTA2,CDH1,0.01954928990589951,0.0009722559811104552,0.0,0.0,0.0,,
ACTA2,CFTR,0.01954928990589951,0.0018750651064273064,0.0,0.0,0.0,,
ACTA2,CHGB,0.01954928990589951,0.0004861279905552276,0.0,0.0,0.0,,
ACTA2,CLEC10A,0.01954928990589951,0.00010417028369040591,0.0,0.0,0.0,,
ACTA2,CLEC12A,0.01954928990589951,0.00017361713948400986,0.0,0.0,0.0,,
ACTA2,CLEC2D,0.01954928990589951,0.0003472342789680197,0.0,0.0,0.0,,
ACTA2,CLEC4C,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
ACTA2,COL1A1,0.01954928990589951,0.004861279905552276,0.0007291919858328414,0.15,0.037300177619893425,2.037696330273413,0.28208978958968217
ACTA2,COL21A1,0.01954928990589951,0.0002777874231744158,3.4723427896801975e-05,0.125,0.0017761989342806397,1.8553747734794586,0.18069316684660375
ACTA2,CRELD2,0.01954928990589951,0.00031251085107121773,0.0,0.0,0.0,,
ACTA2,CSPG4,0.01954928990589951,0.00017361713948400986,3.4723427896801975e-05,0.2,0.0017761989342806397,2.3253784027251942,0.22646636879574045
